Company,HQ,Speciality,Glassdoor Rating,Approves of CEO,Recomend to a friend,Number of Employees,Share Price Change,Open,Close,Employee Growth 12 month,Employee Growth 24 month ,Founded ,Followers,Average Tenure,Number of Roles,Avg. SE comp,PE Ratio,Market Cap
Advantest,Japan,Chipmaker,4.2,93,76,1555,56.54,24.19,38.9,4,8,1954,7711,9,10,"$108,544",19.54,7.708
Facebook,United States of America,Multi Tech,4.3,92,86,56824,2.54,175.73,180.47,56,16,2004,4571956,2.7,4330,"$147,410",30.49,514.415
Google,United States of America,Multi Tech,4.3,92,86,178935,-5.99,1218.19,1170.76,27,11,1998,"12,606,211",4.3,4607,"$131,019",23.64,812.836
Accenture,Ireland,Tech Consultancy,3.9,94,81,412155,15.14,167.08,196.52,2,6,1989,4511611,5.5,15193,"$69,927",27.37,125.662
Amazon,United States of America,Multi Tech,3.9,86,75,343884,-2.77,2012.71,1758.46,6,14,1994,9190280,3.3,27000,"$117,354",72.96,869.902
UBS,Switzerland,Banking,3.6,80,69,64293,-33.05,15.66,10.53,2,7,1862,679995,7.7,2061,"$85,906",9.77,38.773
JP Morgan,United States of America,Banking,3.9,93,79,254983,-7.68,114.58,106.86,-1,-1,1799,1566937,7.4,1518,"$89,437",10.93,341.684
Goldman Sachs,United States of America,Banking,3.9,88,76,35600,-17.29,237.81,201.01,1,9,1869,1540351,5.9,1640,"$104,348",8.42,72.274
Apple ,United States of America,Multi Tech,4,90,77,191045,16.41,227.63,204.87,1,5,1976,7410617,5.5,4037,"$133,382",17.4,925.844
Citi,United States of America,Banking,3.6,83,70,200000,-13.53,71.24,62.93,-1,0,1812,2061614,7.9,6451,"$104,773",8.71,141.479
Credit Suisse,United States of America,Banking,3.7,73,72,46360,-37.65,14.85,11.21,1,1,1856,672269,6.8,1523,"$93,797",12.36,28.65
Salesforce,UK,CRM,4.4,97,87,35000,0.22,152.99,155.14,17,33,1999,1580956,3.4,3129,"$126,775",125.83,132.01
Microsoft,United States of America,multi Tech,4.2,96,87,144000,20.92,110.26,135.45,4,7,1975,8138441,6.6,6484,"$120,176",26.7,1003
IBM,United States of America,multi Tech,3.7,74,72,350600,-11.9,146.48,132.56,0,-2,1911,6719151,9.2,12829,"$99,380",13.68,117.405
Samsung,Korea,Tech infra,3.1,100,50,103752,-16.04,48450,44150,1,-1,1969,1975182,7.3,708,"$100,604",NAN,293.587
Intel,United States of America,Chipmaker,4.2,89,85,107400,-6.54,48.43,45.76,1,3,1968,1456762,8.7,2712,"$102,136",10.63,203.76
Oracle,United States of America,Tech infra,3.5,67,63,136000,6.63,51.83,48.58,0,0,1977,4061890,7.2,763,"$117,978",17.45,172.862
Cognizant,United States of America,Tech Consultancy,3.7,86,77,288200,-22.94,78.43,59.97,0,1,1994,2034045,5.5,2556,"$74,920",16.59,33.121
Deutsche Bank,Germany,Banking,3.5,71,60,90866,-35.47,11.26,7.2,1,-2,1870,936097,7.1,20,"$96,177",NAN,14.871
BNP Paribas,France,Banking,3.6,80,70,202000,-20.96,50.61,40.2,1,6,2000,669657,7.2,2196,"$86,071",6.63,50.12
Sony,Japan,Tech infra,3.6,79,73,114400,-7.96,57.07,56.83,0,0,1946,527428,9.5,788,"$102,859",11.69,69.538
Dell,United States of America,Tech infra,4.2,97,91,157000,7.42,45.6,45.33,1,0,1984,2274480,8.5,2443,"$91,179",NAN,32.551
HP ,United States of America,Tech infra,3.6,86,68,55000,-9.47,24.65,18.17,0,1,1939,3244183,7.6,1052,"$95,019",6.57,26.8
Morgan Stanley,United States of America,Banking,3.7,90,72,59513,7.17,48.83,41.15,2,5,1935,1081640,7.8,2897,"$118,093",8.8,66.74
Alibaba,China,multi Tech,3.9,89,76,103699,-6.17,175.01,172.31,3,15,1999,540012,3.6,77,"$120,736",31.42,430.05
SAP,Germany,Tech consultancy,4.5,96,91,51200,-2.98,103.62,108.06,1,4,1972,1637329,7.7,2479,"$101,763",41.47,132.752
Baidu,China,multi Tech,4.2,76,94,42267,-54.14,226.48,106.47,1,2,2000,201424,4.8,1114,"$130,000",8.27,37.005
Infosys,India,Tech consultancy,3.7,88,73,229029,,10.39,11.32,2,4,1981,1973068,5.6,2121,"$73,570",22.19,46.738
Netflix,United States of America,Entertainment,3.8,90,72,7100,,367.68,295.9,13,46,1997,"2,808,517",2.7,488,"$128,007",116.5,129.557
Bloomberg,United States of America,Banking,3.7,91,74,20000,NAN,NAN,NAN,1,5,1981,"952,944",6.8,368,"$134,368",NAN,NAN
Expedia,United States of America,Internet,3.9,83,75,24500,10.51,130.5,131.44,1,14,1994,"398,727",4.2,1230,"$110,627",32.37,19.256
Uber,United States of America,Transport,4.2.,94,84,26799,-21.12,41.57,32.91,8,16,2009,"1,127,315",2.3,9024,"$124,248",NAN,55.76
Groupon,United States of America,Internet,3.4,76,62,6576,-30.54,4.27,2.43,-1,-3,2008,290948,4.4,326,"$139,828",202.92,1.38
Twitter,United States of America,Internet,3.9,83,79,3920,10.14,35.18,42.01,9,15,2006,656607,3.1,501,"$133,919",13.88,32.471
Asos,UK,Internet,3.3,75,63,4767,-59.85,6114,2370,-7,6,2000,354947,3.3,100,"$65,000",32.74,1.991
HSBC,UK,Banking,3.7,33,72,237685,-20.09,44.01,35.9,0,0,1865,1768149,7.4,3332,"$103,000",10.39,144.896
BAML,United States of America,Banking,3.6,87,70,209000,-14,30.93,27.11,1,1,1904,1166820,9.4,7877,"$103,923",9.65,252348
NVDIA ,United States of America,Tech infra,4.4,97,93,13277,-40.59,280.68,166.07,3,19,1993,433916,5.9,385,"$121,464",37.45,101.14
Canon,Japan,Tech infra,3.3,79,56,194973,-24.41,32.09,25.84,-2,-4,1937,55381,12.7,237,"$56,000",13.04,27.577
/,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HCL Technologies,,,,,,,,,,,,,,,,,,
Tata,,,,,,,,,,,,,,,,,,
Wipro,,,,,,,,,,,,,,,,,,
Standard Chartered,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
