Company,Years at Company,Years of Experience,Rank,Gender,Location,State,Role,Specialism,Total Compensation,Base,Stock,Bonus,Date,Market Cap,Glassdoor Rating,Recommend friend,Approve CEO,Share Price increase - 12month,Change on linkedin past  two years,Changes on linkedin past year,Founded,Open Roles,Folllowers,Average Tenure,Employees on LI
Facebook,0,0,E3,,"Menlo Park, CA",CA,Software Engineer,Distributed Systems (Back-End),"$232,000",110000,37000,85000,8/15/2019,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,0,E3,,"Menlo Park, CA",CA,Software Engineer,Distributed Systems (Back-End),"$175,000",123000,40000,12000,8/14/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,0,E3,,"Menlo Park, CA",CA,Software Engineer,ML/AI,"$221,000",118000,38000,65000,8/14/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,0,E3,,"Seatlle, WA",WA,Software Engineer,Full Stack,"$226,000",NAN,NAN,NAN,8/13/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,0,E3,,"Seatlle, WA",WA,Software Engineer,Mobile,"$169,000",110000,37000,22000,8/12/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,0,E3,,"Menlo Park, CA",CA,Software Engineer,Networking,"$183,000",123000,40000,20000,8/12/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,1,1,E3,,"Menlo Park, CA",CA,Software Engineer,Networking,"$182,000",120000,50000,12000,8/9/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,0,E3,,"Menlo Park, CA",CA,Software Engineer,Mobile,"$248,000",118000,55000,75000,8/7/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,1,E3,,"Seatlle, WA",WA,Software Engineer,Full Stack,"$167,000",115000,40000,12000,7/31/2019,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0,0,E3,,"Seatlle, WA",WA,Software Engineer,Full Stack,"$160,000",110000,40000,10000,7/30/19,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Facebook,0.25,0,E3,,"Menlo Park, CA",CA,Software Engineer,ML/AI,"$174,000",110000,37000,27000,7/30/2019,519.865B,4.3,86,92,2.54,56,16,2004,4330,4571956,2.7,56824
Google,0,2,L3/T3,Male,"Mountain View, CA",CA,Software Engineer,Mobile,"$199,000",125000,55000,19000,8/25/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
Google,1,1,L3/T3,NAN,"San Fran, CA",CA,Software Engineer,Mobile,"$165,000",NAN,NAN,NAN,8/22/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
Google,0,1,L3/T3,Other,"Sunnyvale, CA",CA,Software Engineer,Web,"$163,000",120000,25000,18000,8/20/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
Google,0,0,Residency Program,Female,"Mountain View, CA",CA,Software Engineer,NAN,"$122,000",112000,NAN,10000,8/19/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
Google,0,2,L3/T3,Male,"New York, NY",NY,Software Engineer,Distributed Systems (Back-End),"$256,000",145000,90000,22000,8/19/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
Google,0,0,L3/T3,Male,"San Bruno, CA",CA,Software Engineer,Full Stack,"$163,000",120000,25000,18000,8/18/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
Google,5,11,L3/T3,Male,"Kitchener, ON",Canada,Software Engineer,Full Stack,"$260,000",120000,120000,20000,8/17/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
Google,0,2,L3/T3,Male,"Mountain View, CA",CA,Software Engineer,Distributed Systems (Back-End),"$233,000",65000,65000,33000,8/14/2019,809.41B,4.3,86,92,-5.99,27,11,1998,4607,"12,606,134",4.3,178935
